,province
1320,Zamboanga Sibugay
1323,Quezon
1326,Leyte
1329,Davao de Oro
1332,Isabela
1335,Southern Leyte
1338,Surigao del Sur
1341,Cebu
1344,Agusan del Norte
1347,Sorsogon
1350,Camarines Sur
1352,Romblon
1355,Misamis Oriental
1358,Occidental Mindoro
1361,Palawan
1364,Ilocos Sur
1367,Batanes
1370,Camiguin
1373,Lanao del Norte
1376,Sulu
1379,Sarangani
1382,Aklan
1385,Lanao del Sur
1388,Metropolitan Manila
1393,Davao del Sur
1396,Zamboanga Sibugay
1399,Sarangani
1402,Aklan
1405,Albay
1408,Surigao del Norte
1411,Albay
1414,Davao Occidental
1417,Southern Leyte
1420,Bulacan
1423,Basilan
1426,Camiguin
1429,Occidental Mindoro
1432,Negros Occidental
1435,Davao Oriental
1438,Masbate
1441,Cebu
1444,Pangasinan
1446,Metropolitan Manila
1449,Albay
1452,Negros Oriental
1455,Oriental Mindoro
1458,Misamis Oriental
1461,Zamboanga del Norte
1464,Northern Samar
1467,Tawi-Tawi
1470,Samar
1473,Cavite
1476,Zamboanga del Sur
1479,Siquijor
1482,Bohol
1485,Surigao del Sur
1488,Biliran
1491,Bataan
1494,Pampanga
1497,Masbate
1500,Zambales
1504,Leyte
1507,Maguindanao del Norte
1510,Davao Oriental
1513,Sorsogon
1516,Quezon
1519,Eastern Samar
1522,Leyte
1525,Cebu
1528,Misamis Oriental
1531,Camarines Norte
1534,Eastern Samar
1537,Leyte
1540,Bulacan
1543,Iloilo
1546,Masbate
1549,Camarines Sur
1553,Cebu
1556,Masbate
1559,Marinduque
1562,Northern Samar
1565,Masbate
1568,Bataan
1571,Quezon
1574,Misamis Oriental
1577,Aklan
1582,Zamboanga Sibugay
1585,Cavite
1588,Palawan
1591,Ilocos Sur
1594,Agusan del Norte
1597,Batangas
1600,Oriental Mindoro
1603,Biliran
1606,Metropolitan Manila
1609,Aklan
1612,Cavite
1615,Guimaras
1618,Aklan
1621,Albay
1624,Bulacan
1627,Romblon
1630,Sulu
1633,Zambales
1636,Zamboanga Sibugay
1639,Misamis Oriental
1642,Bataan
1645,Eastern Samar
1648,Bataan
1651,Leyte
1654,Misamis Occidental
1659,Iloilo
1662,Misamis Occidental
1665,Davao del Sur
1668,Quezon
1671,Southern Leyte
1674,Zamboanga del Sur
1677,Quezon
1680,Ilocos Norte
1683,Isabela
1686,Masbate
1689,Northern Samar
1692,Zambales
1695,Sultan Kudarat
1698,Leyte
1701,Leyte
1704,Occidental Mindoro
1707,Northern Samar
1710,Cagayan
1713,Davao del Norte
1716,Misamis Occidental
1719,Capiz
1722,Sulu
1725,Antique
1728,Catanduanes
1731,Catanduanes
1734,Bohol
1737,Sulu
1740,Tawi-Tawi
1743,Sulu
1746,Davao de Oro
1749,Quezon
1752,Ilocos Norte
1755,Bulacan
1758,Camarines Norte
1761,Metropolitan Manila
1764,Maguindanao del Norte
1767,Sulu
1770,Camarines Sur
1773,Metropolitan Manila
1776,Ilocos Norte
1779,Sulu
1782,Sulu
1785,Quezon
1788,Antique
1791,Zamboanga Sibugay
1794,Cagayan
1797,Quezon
1800,Lanao del Sur
1803,Bataan
1806,Cebu
1809,Capiz
1812,Surigao del Norte
1815,Sorsogon
1818,Oriental Mindoro
1821,Cebu
1825,Southern Leyte
1828,Albay
1831,Masbate
1834,Quezon
1837,Zamboanga del Sur
1840,Masbate
1843,Surigao del Norte
1846,Misamis Occidental
1849,Quezon
1852,Oriental Mindoro
1855,Quezon
1858,Capiz
1860,Negros Occidental
1863,Cebu
1866,Camarines Sur
1869,Bohol
1872,Capiz
1875,Sorsogon
1878,Oriental Mindoro
1881,Palawan
1884,Negros Occidental
1887,Palawan
1890,Quezon
1893,Eastern Samar
1896,Zamboanga Sibugay
1899,Camarines Sur
1902,Albay
1905,Quezon
1908,Occidental Mindoro
1911,Palawan
1914,Zamboanga del Norte
1917,Romblon
1922,Cavite
1925,La Union
1928,Northern Samar
1931,Capiz
1934,Oriental Mindoro
1937,Palawan
1940,Zamboanga del Norte
1943,Occidental Mindoro
1946,Batanes
1949,Camiguin
1952,Negros Occidental
1955,Camarines Sur
1958,Southern Leyte
1961,Misamis Oriental
1964,Eastern Samar
1967,Zamboanga del Norte
1970,Bataan
1975,Romblon
1978,Surigao del Sur
1981,Catanduanes
1984,Quezon
1987,Romblon
1990,Zambales
1993,Surigao del Norte
1996,Negros Occidental
1999,Iloilo
2002,Negros Occidental
2005,Ilocos Sur
2008,Pangasinan
2011,Zambales
2014,Camarines Sur
2019,La Union
2022,Masbate
2025,Romblon
2028,Cebu
2031,Quezon
2034,Southern Leyte
2037,Surigao del Norte
2040,Davao Oriental
2043,Leyte
2046,Northern Samar
2049,Surigao del Norte
2052,Masbate
2055,Iloilo
2058,Antique
2061,Camarines Sur
2064,Dinagat Islands
2067,Negros Oriental
2070,Northern Samar
2073,Occidental Mindoro
2076,Romblon
2079,Batangas
2082,Ilocos Sur
2085,La Union
2088,Southern Leyte
2091,Siquijor
2094,Eastern Samar
2097,Guimaras
2100,Aurora
2103,Batangas
2106,Isabela
2109,Leyte
2112,Quezon
2115,Zambales
2118,Isabela
2121,Zamboanga del Sur
2124,Batangas
2127,Masbate
2130,Eastern Samar
2133,Cebu
2136,Southern Leyte
2139,Northern Samar
2142,Oriental Mindoro
2145,Ilocos Sur
2148,Palawan
2151,Cagayan
2154,Ilocos Sur
2157,Cagayan
2160,Ilocos Sur
2163,Negros Oriental
2166,Davao del Sur
2169,Ilocos Sur
2172,Marinduque
2175,Occidental Mindoro
2178,Zambales
2181,Camarines Norte
2184,Cebu
2187,Romblon
2190,Ilocos Sur
2193,Sorsogon
2196,Davao Occidental
2199,Ilocos Sur
2202,Romblon
2205,Surigao del Norte
2208,Cagayan
2211,Samar
2214,Cagayan
2219,Ilocos Sur
2222,Albay
2225,Ilocos Sur
2228,La Union
2231,Tawi-Tawi
2234,Misamis Occidental
2237,Capiz
2240,Davao Occidental
2243,Quezon
2246,Pampanga
2249,Antique
2252,Sulu
2255,Negros Oriental
2258,Cebu
2261,Zamboanga del Norte
2264,Negros Oriental
2267,Guimaras
2270,Zamboanga del Norte
2273,Tawi-Tawi
2276,Southern Leyte
2279,Negros Occidental
2282,Tawi-Tawi
2285,Misamis Occidental
2288,Ilocos Sur
2291,Zamboanga del Norte
2294,Zamboanga del Norte
2297,Negros Occidental
2300,Camarines Sur
2303,Siquijor
2306,Zamboanga del Norte
2309,Camarines Sur
2312,Tawi-Tawi
2315,Surigao del Norte
2318,Palawan
2323,Southern Leyte
2326,Sorsogon
2329,Tawi-Tawi
2332,Pangasinan
2335,Zambales
2338,Misamis Oriental
2341,Eastern Samar
2344,Davao del Sur
2347,Maguindanao del Norte
2350,Maguindanao del Norte
2353,Lanao del Norte
2356,Basilan
2359,Surigao del Norte
2362,Batangas
2365,Albay
2368,Leyte
2371,Zamboanga del Sur
2378,Leyte
2381,Eastern Samar
2384,Surigao del Norte
2387,Bohol
2390,Quezon
2393,Surigao del Sur
2396,Misamis Oriental
2399,Ilocos Sur
2402,Davao del Norte
2405,Bohol
2408,Sulu
2411,Cebu
2414,Camarines Norte
2417,Negros Occidental
2420,Misamis Oriental
2423,Zamboanga Sibugay
2426,Zamboanga del Sur
2429,Leyte
2432,Surigao del Sur
2435,Tawi-Tawi
2438,Aklan
2441,Misamis Occidental
2444,Negros Oriental
2447,Cavite
2450,Sulu
2453,Davao Oriental
2456,Negros Oriental
2459,Palawan
2462,Cavite
2465,Antique
2468,Camarines Sur
2471,Iloilo
2474,Camarines Sur
2477,Batangas
2480,Basilan
2483,Albay
2486,Antique
2489,Negros Occidental
2492,Cebu
2495,Leyte
2498,Southern Leyte
2501,Sulu
2504,Marinduque
2507,Bohol
2510,Dinagat Islands
2513,Agusan del Norte
2516,Bohol
2519,Lanao del Norte
2522,Basilan
2525,Cebu
2528,Cebu
2531,Misamis Occidental
2534,Zamboanga del Sur
2537,Zamboanga Sibugay
2540,Bohol
2543,Basilan
2546,Quezon
2549,Masbate
2552,Batanes
2555,Bohol
2559,Negros Occidental
2562,Negros Oriental
2565,Northern Samar
2568,Negros Occidental
2571,Catanduanes
2574,Ilocos Sur
2577,Leyte
2580,Misamis Oriental
2583,Zamboanga del Sur
2586,Camarines Norte
2589,Catanduanes
2592,Zamboanga del Sur
2595,Negros Oriental
2598,Iloilo
